,model,architecture,num_param,accuracy,precision,recall
246,attack-1-a9-conv-14.pth,a9,456,0.495,0.4791666666666667,0.4742268041237113
247,attack-1-a9-conv-15.pth,a9,456,0.485,0.46938775510204084,0.4742268041237113
248,attack-1-a9-conv-16.pth,a9,456,0.525,0.5104166666666666,0.5051546391752577
249,attack-1-a9-conv-17.pth,a9,456,0.52,0.5056179775280899,0.4639175257731959
250,attack-1-a9-conv-18.pth,a9,456,0.515,0.5,0.4845360824742268
251,attack-1-a9-conv-19.pth,a9,456,0.52,0.5057471264367817,0.4536082474226804
252,attack-1-a9-conv-2.pth,a9,456,0.515,0.5,0.4742268041237113
253,attack-1-a9-conv-20.pth,a9,456,0.555,0.5425531914893617,0.5257731958762887
254,attack-1-a9-conv-21.pth,a9,456,0.515,0.5,0.5257731958762887
255,attack-1-a9-conv-22.pth,a9,456,0.535,0.5222222222222223,0.4845360824742268
256,attack-1-a9-conv-23.pth,a9,456,0.515,0.5,0.4536082474226804
257,attack-1-a9-conv-24.pth,a9,456,0.53,0.5154639175257731,0.5154639175257731
258,attack-1-a9-conv-25.pth,a9,456,0.51,0.4945054945054945,0.4639175257731959
259,attack-1-a9-conv-26.pth,a9,456,0.545,0.53,0.5463917525773195
260,attack-1-a9-conv-27.pth,a9,456,0.515,0.5,0.5567010309278351
261,attack-1-a9-conv-28.pth,a9,456,0.49,0.46987951807228917,0.4020618556701031
262,attack-1-a9-conv-29.pth,a9,456,0.515,0.5,0.4536082474226804
263,attack-1-a9-conv-3.pth,a9,456,0.53,0.5157894736842106,0.5051546391752577
264,attack-1-a9-conv-4.pth,a9,456,0.555,0.5425531914893617,0.5257731958762887
265,attack-1-a9-conv-5.pth,a9,456,0.52,0.5054945054945055,0.4742268041237113
266,attack-1-a9-conv-6.pth,a9,456,0.54,0.5238095238095238,0.5670103092783505
267,attack-1-a9-conv-7.pth,a9,456,0.53,0.5157894736842106,0.5051546391752577
268,attack-1-a9-conv-8.pth,a9,456,0.525,0.5116279069767442,0.4536082474226804
269,attack-1-a9-conv-9.pth,a9,456,0.53,0.5157894736842106,0.5051546391752577
