,model,architecture,accuracy,precision,recall
0,9000.pth,a5,0.898,0.948,0.840
1,9001.pth,a5,0.906,0.906,0.903
2,9002.pth,a5,0.899,0.950,0.840
3,9003.pth,a5,0.911,0.936,0.880
4,9004.pth,a5,0.909,0.937,0.874
5,9005.pth,a5,0.908,0.945,0.863
6,9006.pth,a5,0.905,0.928,0.875
7,9007.pth,a5,0.900,0.959,0.833
8,9008.pth,a5,0.893,0.951,0.827
9,9009.pth,a5,0.902,0.944,0.853
10,9010.pth,a5,0.905,0.935,0.868
11,9011.pth,a5,0.906,0.926,0.881
12,9012.pth,a5,0.909,0.923,0.891
13,9013.pth,a5,0.900,0.889,0.913
14,9014.pth,a5,0.908,0.907,0.907
15,9015.pth,a5,0.905,0.945,0.858
16,9016.pth,a5,0.907,0.950,0.857
17,9017.pth,a5,0.900,0.879,0.926
18,9018.pth,a5,0.912,0.913,0.909
19,9019.pth,a5,0.905,0.908,0.899
20,9020.pth,a5,0.897,0.938,0.847
21,9021.pth,a5,0.903,0.945,0.854
22,9022.pth,a5,0.905,0.950,0.852
23,9023.pth,a5,0.907,0.923,0.887
24,9024.pth,a5,0.912,0.939,0.879
25,9025.pth,a5,0.910,0.919,0.898
26,9026.pth,a5,0.912,0.930,0.890
27,9027.pth,a5,0.908,0.945,0.864
28,9028.pth,a5,0.911,0.938,0.879
29,9029.pth,a5,0.905,0.937,0.867
30,9030.pth,a5,0.910,0.931,0.883
31,9031.pth,a5,0.902,0.912,0.887
32,9032.pth,a5,0.891,0.932,0.842
33,9033.pth,a5,0.908,0.907,0.907
34,9034.pth,a5,0.890,0.907,0.867
35,9035.pth,a5,0.912,0.946,0.872
36,9036.pth,a5,0.899,0.951,0.840
37,9037.pth,a5,0.903,0.906,0.897
38,9038.pth,a5,0.913,0.941,0.879
39,9039.pth,a5,0.898,0.893,0.903
40,9040.pth,a5,0.906,0.927,0.879
41,9041.pth,a5,0.910,0.918,0.900
42,9042.pth,a5,0.913,0.926,0.896
43,9043.pth,a5,0.906,0.943,0.862
44,9044.pth,a5,0.903,0.912,0.890
45,9045.pth,a5,0.909,0.927,0.885
46,9046.pth,a5,0.905,0.940,0.862
47,9047.pth,a5,0.904,0.937,0.866
48,9048.pth,a5,0.900,0.951,0.841
49,9049.pth,a5,0.904,0.952,0.850
50,9050.pth,a5,0.909,0.921,0.893
51,9051.pth,a5,0.906,0.920,0.886
52,9052.pth,a5,0.911,0.900,0.924
53,9053.pth,a5,0.895,0.940,0.841
54,9054.pth,a5,0.896,0.957,0.827
55,9055.pth,a5,0.894,0.884,0.904
56,9056.pth,a5,0.907,0.955,0.852
57,9057.pth,a5,0.909,0.933,0.881
58,9058.pth,a5,0.911,0.938,0.878
59,9059.pth,a5,0.902,0.897,0.905
60,9060.pth,a5,0.902,0.942,0.856
61,9061.pth,a5,0.908,0.936,0.874
62,9062.pth,a5,0.893,0.937,0.839
63,9063.pth,a5,0.901,0.925,0.871
64,9064.pth,a5,0.897,0.959,0.827
65,9065.pth,a5,0.896,0.921,0.864
66,9066.pth,a5,0.905,0.938,0.866
67,9067.pth,a5,0.907,0.944,0.864
68,9068.pth,a5,0.897,0.936,0.849
69,9069.pth,a5,0.900,0.957,0.836
70,9070.pth,a5,0.889,0.955,0.814
71,9071.pth,a5,0.910,0.921,0.894
72,9072.pth,a5,0.888,0.960,0.807
73,9073.pth,a5,0.900,0.915,0.880
74,9074.pth,a5,0.901,0.935,0.861
75,9075.pth,a5,0.903,0.948,0.850
76,9076.pth,a5,0.905,0.893,0.918
77,9077.pth,a5,0.909,0.947,0.864
78,9078.pth,a5,0.907,0.937,0.871
79,9079.pth,a5,0.909,0.935,0.876
80,9080.pth,a5,0.905,0.942,0.861
81,9081.pth,a5,0.903,0.915,0.886
82,9082.pth,a5,0.892,0.951,0.824
83,9083.pth,a5,0.890,0.967,0.805
84,9084.pth,a5,0.895,0.954,0.828
85,9085.pth,a5,0.895,0.937,0.845
86,9086.pth,a5,0.891,0.961,0.814
87,9087.pth,a5,0.912,0.916,0.904
88,9088.pth,a5,0.907,0.940,0.867
89,9089.pth,a5,0.903,0.930,0.868
90,9090.pth,a5,0.899,0.941,0.849
91,9091.pth,a5,0.903,0.901,0.902
92,9092.pth,a5,0.909,0.906,0.912
93,9093.pth,a5,0.912,0.916,0.906
94,9094.pth,a5,0.914,0.922,0.903
95,9095.pth,a5,0.906,0.947,0.859
96,9096.pth,a5,0.896,0.958,0.826
97,9097.pth,a5,0.916,0.913,0.917
98,9098.pth,a5,0.899,0.904,0.890
99,9099.pth,a5,0.891,0.963,0.810
0,10602.pth,a6,0.906,0.934,0.873
1,10603.pth,a6,0.904,0.924,0.878
2,10604.pth,a6,0.899,0.939,0.850
3,10605.pth,a6,0.904,0.950,0.852
4,10606.pth,a6,0.888,0.957,0.810
5,10607.pth,a6,0.892,0.891,0.891
6,10608.pth,a6,0.900,0.941,0.852
7,10609.pth,a6,0.875,0.963,0.777
8,10610.pth,a6,0.885,0.964,0.797
9,10611.pth,a6,0.903,0.938,0.861
10,10612.pth,a6,0.902,0.962,0.834
11,10613.pth,a6,0.882,0.962,0.792
12,10614.pth,a6,0.891,0.878,0.905
13,10615.pth,a6,0.907,0.928,0.881
14,10616.pth,a6,0.907,0.932,0.877
15,10617.pth,a6,0.905,0.930,0.874
16,10618.pth,a6,0.894,0.967,0.813
17,10619.pth,a6,0.900,0.900,0.898
18,10620.pth,a6,0.892,0.951,0.825
19,10621.pth,a6,0.891,0.929,0.845
20,10622.pth,a6,0.892,0.959,0.817
21,10623.pth,a6,0.894,0.865,0.932
22,10624.pth,a6,0.906,0.944,0.861
23,10625.pth,a6,0.901,0.945,0.851
24,10626.pth,a6,0.901,0.950,0.845
25,10627.pth,a6,0.908,0.923,0.887
26,10628.pth,a6,0.904,0.950,0.851
27,10629.pth,a6,0.908,0.919,0.893
28,10630.pth,a6,0.901,0.934,0.860
29,10631.pth,a6,0.904,0.915,0.888
30,10632.pth,a6,0.905,0.934,0.870
31,10633.pth,a6,0.906,0.903,0.907
32,10634.pth,a6,0.898,0.954,0.833
33,10635.pth,a6,0.901,0.959,0.836
34,10636.pth,a6,0.906,0.942,0.864
35,10637.pth,a6,0.892,0.862,0.931
36,10638.pth,a6,0.902,0.941,0.856
37,10639.pth,a6,0.907,0.946,0.862
38,10640.pth,a6,0.904,0.923,0.879
