,model,architecture,accuracy,precision,recall
35,14435.pth,a9,0.897,0.905,0.886
36,14436.pth,a9,0.881,0.892,0.866
37,14437.pth,a9,0.894,0.899,0.884
38,14438.pth,a9,0.864,0.948,0.767
39,14439.pth,a9,0.866,0.953,0.767
40,14440.pth,a9,0.886,0.928,0.835
41,14441.pth,a9,0.901,0.932,0.863
42,14442.pth,a9,0.888,0.904,0.867
43,14443.pth,a9,0.870,0.917,0.811
44,14444.pth,a9,0.881,0.912,0.840
45,14445.pth,a9,0.859,0.954,0.752
46,14446.pth,a9,0.893,0.914,0.867
47,14447.pth,a9,0.871,0.960,0.770
48,14448.pth,a9,0.885,0.914,0.847
49,14449.pth,a9,0.898,0.915,0.876
50,14450.pth,a9,0.868,0.937,0.786
51,14451.pth,a9,0.865,0.846,0.891
52,14452.pth,a9,0.880,0.947,0.802
53,14453.pth,a9,0.881,0.954,0.799
54,14454.pth,a9,0.877,0.946,0.797
55,14455.pth,a9,0.884,0.897,0.866
56,14456.pth,a9,0.882,0.870,0.895
57,14457.pth,a9,0.882,0.950,0.803
58,14458.pth,a9,0.890,0.924,0.847
59,14459.pth,a9,0.885,0.954,0.807
60,14460.pth,a9,0.875,0.961,0.778
61,14461.pth,a9,0.888,0.926,0.840
62,14462.pth,a9,0.888,0.925,0.842
63,14463.pth,a9,0.878,0.939,0.806
64,14464.pth,a9,0.879,0.943,0.804
65,14465.pth,a9,0.889,0.940,0.829
66,14466.pth,a9,0.873,0.958,0.778
67,14467.pth,a9,0.884,0.915,0.843
68,14468.pth,a9,0.864,0.963,0.754
69,14469.pth,a9,0.891,0.907,0.869
70,14470.pth,a9,0.873,0.955,0.781
71,14471.pth,a9,0.882,0.944,0.810
72,14472.pth,a9,0.865,0.952,0.767
73,14473.pth,a9,0.896,0.918,0.869
74,14474.pth,a9,0.870,0.938,0.790
75,14475.pth,a9,0.883,0.916,0.841
76,14476.pth,a9,0.860,0.836,0.892
77,14477.pth,a9,0.881,0.948,0.803
78,14478.pth,a9,0.875,0.925,0.814
79,14479.pth,a9,0.893,0.892,0.892
80,14480.pth,a9,0.855,0.959,0.739
81,14481.pth,a9,0.878,0.950,0.795
82,14482.pth,a9,0.868,0.901,0.825
83,14483.pth,a9,0.886,0.897,0.870
84,14484.pth,a9,0.864,0.947,0.768
85,14485.pth,a9,0.872,0.905,0.828
86,14486.pth,a9,0.861,0.966,0.745
87,14487.pth,a9,0.883,0.945,0.812
88,14488.pth,a9,0.860,0.959,0.748
89,14489.pth,a9,0.889,0.932,0.837
90,14490.pth,a9,0.876,0.940,0.801
91,14491.pth,a9,0.860,0.822,0.916
92,14492.pth,a9,0.884,0.923,0.836
93,14493.pth,a9,0.887,0.910,0.855
94,14494.pth,a9,0.892,0.909,0.870
95,14495.pth,a9,0.890,0.937,0.834
96,14496.pth,a9,0.886,0.952,0.810
97,14497.pth,a9,0.879,0.948,0.799
98,14498.pth,a9,0.870,0.956,0.774
99,14499.pth,a9,0.880,0.953,0.797
